72274	54732
2732	88109
97426	89384
53321	48084
30597	95273
37718	28632
3871	96759
56986	12397
37445	88775
5119	6398
35402	79980
6868	32545
64843	33461
29748	82714
98661	78958
10356	41808
74409	76492
91160	71960
13317	77311
22762	31455
86245	85998
31752	23128
49453	94
21203	89846
35691	99025
32753	96490
51267	51678
31977	6809
14887	1577
84028	88050
4550	68563
29937	10786
11618	25498
81589	26425
34311	7848
5554	52370
87300	5048
93261	91019
5611	60204
25286	64338
55220	53589
3632	78172
25004	91483
22465	72544
38008	52886
7623	62955
80198	10492
58826	2558
47447	46001
13133	75066
73210	60236
64719	99942
10970	65909
66848	91396
8234	65363
30910	5034
77664	18270
83941	81776
10590	64643
79330	79661
65684	82292
15058	63980
54673	70441
2461	1782
53312	53607
45790	10090
81448	11807
76077	73583
52685	2583
45962	57157
8336	39305
13178	13020
81820	5596
61354	57889
74143	77686
7639	10713
84802	62686
37716	17336
71995	13387
63509	67819
30217	56684
3694	2296
74726	64827
95930	85506
42009	68276
78009	67594
15918	5450
27112	97519
73211	79921
47537	39418
92363	59696
72830	81651
37437	39363
70965	56855
18145	848
56052	88794
59247	83291
57856	77796
68785	19382
45306	4354
48916	36028
60789	11233
36544	94699
49961	57653
21664	62317
15023	84876
30604	46091
53925	7205
8936	57373
31552	26346
23472	95642
67313	35317
75033	53698
93901	72234
80256	59498
59320	32742
33258	94354
18441	12773
33543	61654
1776	91424
30358	71676
51946	48230
18121	98064
13150	92747
60891	83524
99846	54727
78089	33305
54448	35599
85262	44483
22835	97133
64024	53640
78364	19354
87336	23073
205	38578
90958	38115
48101	20354
38399	80502
915	35030
72322	49171
13240	41938
91503	83903
51703	55488
23142	45155
83988	81055
62360	95113
82926	63949
42598	39195
73946	38628
99080	42786
53121	50191
36227	1970
13777	52255
90647	34742
50146	87168
97161	88819
39887	79322
16623	48301
13322	98251
26497	23874
8349	47787
76958	20982
54284	84621
15476	55817
65550	31196
18189	15188
54120	5251
23601	36674
53316	70272
31778	47567
43769	23493
53223	17728
7044	63050
69037	18601
38825	49514
99850	40517
51730	72833
30988	86197
50092	8765
67272	74848
51016	11081
65306	87812
8625	46844
34043	43244
58204	64436
66835	72198
11866	27142
24253	40436
82663	52223
45831	39088
37684	4019
25762	18145
45055	72887
53358	88175
86059	18997
69719	53694
82949	79666
12122	31254
46760	33231
54938	51250
23679	23812
51397	72678
86988	90738
87400	63268
28526	51658
8727	92373
76668	10396
37355	33497
97973	57600
79056	98602
20412	49061
20079	36071
37959	13691
70861	65070
15918	4404
1825	10071
38722	33816
35172	97091
44296	46560
7620	73099
60840	95056
1484	20802
35417	4177
50360	46381
85955	92248
31124	85742
33524	7968
23562	55745
2895	38793
81689	57955
25283	79091
24891	86588
12310	20358
10534	92320
37723	85970
87171	19677
598	41330
61397	50221
74808	78531
58152	14900
35838	18360
20688	75426
86034	50413
5085	44312
46979	41977
33639	12849
47627	37039
53082	89855
47210	23968
28677	40298
19218	22045
64739	50890
39291	13101
94646	44210
17579	66043
59631	54711
44091	72530
15762	16778
16837	3111
5300	93290
3936	83672
15726	47169
30777	12337
88570	27152
99258	21606
79549	3283
28256	29665
360	37807
63611	54368
67862	38027
30628	48646
80952	63570
31567	58436
48053	80532
38052	19232
36960	86069
80001	46754
88680	24146
41895	80701
55786	10459
5313	22163
53125	68921
19577	11741
58216	26792
23925	52554
43225	58769
49555	84578
59948	79831
67447	27314
73639	89774
89003	40464
89834	87421
67877	84370
13881	95606
65824	98842
49951	10145
69742	71879
92020	2541
52077	13689
81947	52516
51486	90938
95413	22370
71848	61600
22416	99999
33600	61695
41879	2176
79091	5334
42156	4342
58653	56075
63547	53257
87691	20098
48514	28869
61254	59888
